	Unsorted			                Sorted(1-9999)			                Sorted(9999-1)
	QuickSort	MergeSort	HeapSort	QuickSort	MergeSort	HeapSort	QuickSort	MergeSort	HeapSort
File 60	187.59808	53.301296	58.545643	16560.639	85.49295	73.23258	123026.37	41.011715	48.14971	
File 61	477.09363	53.91159	59.296867	16322.35	54.91072	73.89972	127429.5	57.86824	72.409515	
File 62	768.1552	59.846367	61.503952	16374.388	59.92848	67.90652	123256.78	45.437336	51.469624	
File 63	208.87668	57.095303	57.99733	16330.057	68.32773	64.42437	118992.15	40.596825	49.60755	
File 64	475.8051	55.191788	59.463455	16389.107	59.478455	72.22793	125564.43	50.371407	54.02923	
File 65	237.3888	54.712154	58.099174	16345.19	58.37866	73.85235	117637.28	47.900623	54.4153	
File 66	197.67545	53.050625	58.308395	16368.869	63.290234	74.660416	113706.0	47.245327	64.357254	
File 67	221.98497	52.756924	57.808235	15723.946	66.64922	72.49793	133920.3	83.29179	81.65236	
File 68	184.84819	50.934723	59.16897	16441.146	55.871952	84.213936	127507.92	49.979412	56.17355	
File 69	253.10841	61.702515	58.831448	16548.125	60.967083	66.9066	        126691.73	47.808643	55.0252	
File 70	196.45485	50.542336	58.212467	16457.072	63.26852	71.76803	126022.17	48.339592	56.206707	
File 71	195.23544	51.488174	60.73536	16434.197	66.91686	64.41568	126517.81	52.887985	56.5158	
File 72	195.8556	54.93243	57.415848	16205.686	57.14899	66.43171	127038.09	45.464577	60.25139	
File 73	185.9934	62.126488	60.185463	16848.053	63.48524	78.73234	127668.04	48.13037	51.27698	
File 74	180.82365	51.14158	61.6887	        17261.588	66.67488	77.15962	126346.09	48.510128	58.36445	
File 75	228.89638	51.773582	64.94427	16367.344	57.814552	72.17345	128490.984	45.72867	52.972855	
File 76	192.6119	51.76885	63.15088	14282.891	63.1418	        66.854095	122191.06	50.155476	58.772232	
File 77	300.71375	53.896984	61.74594	15139.579	49.13266	58.78684	127018.0	53.81527	52.0811	
File 78	167.32375	51.571865	61.802784	16256.59	55.4168	        69.149605	128206.414	55.499695	78.91274	
File 79	214.36893	53.64947	58.329712	16266.928	68.71972	73.248375	129354.06	46.955967	53.49157	
File 80	296.83408	51.879776	58.366425	16373.753	63.732754	64.38252	129061.55	56.41198	66.14985	
File 81	311.1993	57.121758	59.72636	16740.191	61.215385	68.616295	133311.39	48.259457	58.523537	
File 82	174.1191	50.458256	58.063248	16437.996	56.321583	69.163826	124969.42	50.86801	54.86098	
File 83	224.29668	67.747826	58.134705	16369.498	74.69398	68.73038	126156.12	46.725433	54.053703	
File 84	170.45023	52.963383	59.213177	16450.857	62.52756	68.96605	127932.17	69.79346	112.80975	
File 85	184.87741	51.994255	61.04327	17068.607	61.900288	65.16927	123012.54	44.954548	52.19716	
File 86	199.06734	59.953346	59.7311	        16285.361	65.08835	64.870445	126624.96	55.090336	57.34874	
File 87	224.17075	53.56973	59.59175	16447.654	59.889793	72.01397	122969.03	47.246513	70.97733	
File 88	259.08386	52.582836	57.44822	16304.673	57.125706	76.86632	124390.42	48.887913	51.264347	
File 89	188.34142	52.33335	60.804047	16297.964	57.90535	66.74475	131755.97	48.158005	59.475296	
